misspelt	misspelled
confuzzled	confused
ak	ahk
chin-wa	currency/capita
smrt	smart
yunz	you
yatch	biznatch
kewl	cool
poosai	pussy
fuckel	fuckall
bote	boat
sope	soap
teh	the
crao	crap
pwn	own
wasabi	wazabi
micro$oft	microsoft
nadsaq	nasdaq
vumpus	wumpus
dood	dude
dum	dumb
chrizzle	christmas
kult	cult
kfuc	fuck
gave	gayve
pwns	owns
fruck	fuck
meag	meager
caked	drunk
azz	ass
skool	school
haxx0r	hacking
fo	of
wvu!	wuv
crapshaith	crap
villian	villain
hore	whore
meh	me
arin	arin
s3xy	sexy
intarweb	internet
schmeckle	hebrew
shiznahmutherfukk	fuck
yuo	you
tire	sab0tage
jawesome	jawsome
fizix	physics
j-o-o	jew
kewl	cool
liek	like
evillic	eric
caulk	cock
aight	aiight
evillic	eric
horney	horny
squall	squell
compruder	computer
fo	for
jenkey	janky
osmethne	something
masterbating	masturbating
poep	poop
dentisit	dentist
logik	logic
pweed	pwned
cooder	cooter
speth	steph
lfmao	lmfao
pwn	own
bastid	bastard
prwans	prawns
fach	face
f0ck	fuck
langiappe	lagniappe
amerika	america
fusk	fuck
mexispeak	mexi-speak
halloa	hello
stewpit	stupid
xero	zero
rawk	rock
jaxi	jacksy
navo	turnip
boolshit	bullshit
gorm	gormless
thom	tom
homaphobe	homophobe
shitheid	shithead
aer	are
aite	alright
pwned	owned
bunghole	anus
voor	for
marajuana	marijuana
phagina	vagina
ypou	you
cahk	cock
monkey	penis
fonk	fuck
drak	dark
ur	your
blundt	blunt
welp	well
diarrhea	dio
eleet	elite
st0pid	stupid
poof	good-bye
smrat	smart
masterbation	masturbation
terd	turd
jiggafied	jiggified
splade	spork
weenazz	wenis
homesar	homsar
devestated	devastated
darn	damn
clitorus	clittoris
asscock	donkey
syme	phat
retart	retard
teh	the
uhab	ubah
schmiggles	f**k
retarted	retarded
teh	the
sxe	sexy
skuffer	scuffer
b0i	boy
kewl	cool
pisskers	cock
ghezetto	ghetto
jiuce	juice
xool	cool
durb	derb
deth	death
wassabi	wasabi
fack	faak
cac	cack
handlobraes	handle
seriousalmente	spanish
early	good-bye
phage	fag
fegge	faggot
h4ck3r	hacker
splifta	splif
dam	damn
fatg	fag
partat	partay
pnis	penis
fcuk	fuck
prok	pork
lolz	lol
snerfy	cool
perenium	perineum
hampster	hamster
cocksicle	cocksickle
gret	great
ghey	gay
ppl	people
i33t	leet
gnast	nast
hipppoo	hippo
massageandablowjob	massage
splurge	superglue
aitch	h
mig	ma
lysdexia	dyslexia
moted	moded
bitca	bitch
sexi	sexy
wgat	what
smeckel	schmeckle
sexxy	sexy
colour	color
convo	conversation
whoamo	womo
dgry	degree
yff	yiff
ur	your
pxnk	punk
edjot	wanker
crapper	toilet
bona	boner
shnorrer	schnorrer
seks	sex
toofah	tufa
znort	snort
woot	w00t
fo	for
masterbation	masturbation
grits	orgasm
metior	meteor
hibobadoble	poop
zeraw	warez
p0wnt	pwnt
cawkatoo	cockatoo
mukkis	mucus
gravey	gravy
weltanschlong	weltangschlong
shotz0red	shot
pron	porn
fumduck	dumbfuck
kunt	cunt
hepl	help
nubby	newbie
pron	porn
emortal	immortal
trogdolyte	troglodyte
donit	doughnut
carp	crap
nudle	noodle
hed	head
spooj	splooge
hed	head
bolagna	cum
poss	boss
doppy	dopey
scrunch	scrumping
syke	wordpsyche
b0xx0rs	boxers
l33ch	leech
yey	yay
relaly	really
omef	omfg
narb	newb
gé	gay
ecstacy	ecstasy
gooba	snot
n0rp	pr0n
frat	fart
gruad	guard
delestic	deslexic
creon	creole
knoe	know
pown	pwn
cannibus	marijuana
octcagtcon	otaconword
homsar	homestar
daogh	doagh
nifkin	bifkin
indoid	indeed
queerosexual	fag
craptacualr	craptacular
banananana	banana
own'd	wordowned
jit	shit
wonce	once
bizzatch	bitch
botch	bitch
sheezy	shizzle
doppleganger	doppelganger
kikyou	kikyo
si	yes
feesh	fish
loose	lose
lolz	lol
buttl	butthole
xobx	xbox
reagen	regan
doo	dude
riiight	right
suxx	sucks
ekstrem	extreme
jyou	jow
starr	mate
womyn	woman
scratch	fighting
phuqed	fuck
armadeggon	armageddon
bagina	vagina
poochoo	puuchu
yr	your
xtreme	extreme
titses	tits
incyclopedia	encyclopedia
spret	terps
pet	petrified
funtastic	something
dambo	dumb
teh	the
cousin	pronounced
dedlee	deadly
monkeybosch	monkeybosch
pharsi	farsi
teh	the
bizness	business
boob	bob
farfignugen	fahrvergnügen
w33d	weed
wich	with
duece	goodbye
stull	stuff
sucubus	succubus
altavisa	altavista
yonkles	yes
gymp	gimp
griddled	shit
fucky	fuck
choong	buff
phagh	fag
pwnijj	pwnage
snoogums	snoogens
pfag	fag
sufferring	suffering
fite	fight
nwegrounds	newgrounds
kwazy	crazy
kerek	kerrek
foamity	foamidy
discobobulated	discombobulated
crackelf	cracker
fooot	foot
illeriterate	illeterite
hame	ham
hrdcre	hardcore
arc	ark
jes	yes
renig	renege
wimmin	women
chea	yes
shight	shite
knob	newb
leet	elite
zuecreu	loser
pance	pants
dagron	dragon
mnooo	nooooo
m'kay!	f*ck
aryan	iranian
innactive	inactive
jumbo	cool
fack	fuck
tac	pot
krab	crab
partfractico	partfracdeco
tha	the
jeezus	jesus
ph33r	fear
loose	lose
ywned	owned
alucard	arucard
rep	rap
gnoes	no
shews	hairpile
noobenstein	noob
pw3n	own
snipper	sniper
ickeyray	rickey
whasup	whatsup
plom	plum
ahbiously	obiously
plaz	plz
shvartzah	schvatze
thas	that
rozzle	rozzel
phish	fish
asshole	arsehole
awsome	awesome
blashgoo	blashgoo
ballsack	ballsac
mangk	man
xmas	christmas
cum	come
fistin	fisting
perve	perv
watchu	whatchu
edn	end
kkthxbye	kthxbye
wylyam	william
ghonorrea	gonorrhea
fukk	fuck
diarhea	diarrhea
athiest	atheist
fucktarf	fucktard
yayo	llello
shlong	schlong
petifile	pediphile
swooft	swift
grate	great
henti	wearsie
pacifically	specifically
pwn3d	owned
wao	wow
kundt	cunt
biza	bitch
sewisare	suisare
cramp	awkward
alkohol	alcohol
nublod	unbold
preggers	pregnant
religicon	religicon
meating	meeting
eiler	eviler
stuipid	stupid
niccle	nibble
cacker	chav
perty	pretty
skyfe	skife
behenchod	bhenchod
bearfoot	barefoot
woah	whoa
homo	homosexual
ambidextrious	ambidextrous
lvoe	love
stuph	stuff
bluh	bull
petifile	pedophile
nubsicle	noob
yuppers	yeppers
pr0n	prawn
shloogamahoof	schloogamahoof
danyo	daniel
googleplex	googolplex
steelo	style
badware	wordspyware
shtick	shtuck
opps	oops!
massa	master
ninga	ninja
makaio	amkakakakoaioikoaikoaik!oiko
nood	nude
auka	ok
satin	satan
psuedoultrapsuedoantidisestablishmentarianism	pseudoultrapseudoantidisestablishmentarianism
pipsicle	popsicle
pogger	arse-rape
woah	whoa
miaow	meow
puusy	pussy
arsewipe	asswipe
mopho	mofo
thow	though
probly	probably
athiest	atheist
molech	moloch
necropaedophile	bentley
bently	bentley
moew	more
