infindenty	infinity
topanga	jewish
flanelle	flannel
zackly	exactly
lyme	lime
gova	car
grammer	grammar
hawt	hot
hawt	hot
reprecaution	repercussions.2)it
gavno	russlan
sesh	session
dil	heart
hoskee	slut
seirous	serious
water	dust(pcp
daggone	goddamn
petunia	vagina
fema'd	fucked
thun	thug
noit	spam
feck	fuck
seme	seed
insatious	insatiable
lallafral	sassafras
eesshh	eesh
maddupacku	motherfucker
chika	chica
chika	girl
lascar	muslim
cockcranium	dickhead
straylia	australia
deno	dick
potty	party
berroo	beero
compuper	computer
squally	thot
nappy	diaper
nappy	nap
inglaterra	paradise
assho	asshole
danny	alcohol
nubbage	nub
hoy	hey
fesbian	fe7sbian
gangstewart	gangster
zim	awesome
nibba	projection
dayamn	damn
aguigo	jizz
kutha	dog
atrocious	disgusting
flix	netflix
arite	aight
fonty	gay
bonker	boner
c1	affirmative
gandu	arsehole
beautaious	beautiful
wump	pwn
stoneman	stoner
paraneum	perineum
figa	pussy
tamad	mothefucker
juzip	secret
homosexualist	homosexual
dome	condom
girdle	girl
faikakala	nosey
hayyo	hello
gurl	girl
hideowakamatsu	hideous
absorbtion	absorption
cuz	bacause
polititianing	politics
feminism	cancer
poliet	polite
berwin	chinese
alcy	alcoholic
lawli	loli
twax	sex
shfanks	thanks
sledge	insult
tosser	wanker
bryant	interesting
pisd	pissed
christin	christine
rompis	rommate
dec	decent
esketit	spaghetti
hi	hello
appology	apology
emo	emotional
rubbers	condom
ceiana	princess
reeses	racist
nupid	stupid
twissers	tweezers
decompose	rot
prash	trash
osyande	dyke
kew	cool
wittyful	intelligent
homietta	homie
foreverred	hypocrite
homey	homie
junglerozz	masturbate
hanus	heinous
serial	serious
incendia	fire
kurt	gee
pishka	dick
naytch	no
geet	gate
ger	girl
cannon	canon
dackwards	backwards
durrty	friend
yizzur	yeah
fingerplay	tease
bai	sister
porta	portable
splooge	cum
gravy	sauce
rasseling	wrestling
kewl	cool
angella	angela
jang	man
banquit	banquet
ghettaciousness	ghetto
phool	flower
indidly	indeed
awome	awesome
banoonie	banana
m33p0	m33p
meatflower	vagina
hoochin'	busy
buttana	bitch
noit	spam
tommie	stomach
no?	no
lurbian	lesbian
dogé	doag
haslos	hello
scamaz	scam
kou	cum
radical	rad
pennie	penis
klavier	piano
concncerend	concerned
wiggis	slut
cooyon	stupid
beej	blowjob
dick	penis
snole	snail
teh	the
shtab	stab
sarena	serena
hospi	hospital
raimund	raymond
kutha	dog
cuddle	penis
a-may	amazing
throffy	froffy
taylor	liar
grammer	grammar
prez	marijuana
haway	howay
sadtimistic	pessimistic
woose	wuss
f!r3f0x	firefox
scooch	money
bitach	bitch
fibgers	fingers
chappy	awesome
skrankie	awesome
awesomado	awesome
mam	mother
momaye	boobs
womyn	women
wey	jue
danise	joint
poonany	vagina
ire	allright
lavvie	lavvy
ebil	evil
dwd	dude
bhyer	bye
teriffic	terrific
cactul	ladder
injoy	enjoy
scheiser	shit
klarn	retard
buddy	friend
hott	hot
speechlore	linguistics
speechlore	linguistics
speechlore	linguistics
booclap	bullsh*t
ked	kid
flint	cum
pouilliop	noush
cobia	vagina
pratt	vagina
fresco	cool
grrl	girl
bearcar	bearcat"2
metal	awesome
dericious	delicious
hellelujer	hellelujah
lawlzbawlz	lol
hurtfuk	hurtful
gems	crack
dick	penis
kaykay	kk
kaykay	ok
maizin	amazing
luhv	love
pwn	poon
khand	sugar
decent	shitbags
pissed	drunk
heka	hecka
yas	yes
betty	marijuana
salsa	sauce
salsa	source
lancap	masturbate
kari	penis
wefe	queif
thrice	3
blaised	blazed
fasst	fast
kami	hair
strapped	bound
chubby	loser
cheelin	chilling
hoopla	vagina
mutuchal	shared
tillery	artillery
litteth	litty
numberous	numerous
d00sh	douche
lunacy	insanity
aight	alright
trooff	truth
devochka	girl
omglette	omg
worter	water
tom2	tomorrow
